Name,,Voted By,Inducted As,Votes,% of Ballots
Ray Brown,1908-1965,Negro League,Player,,
Willard Brown,1915-1996,Negro League,Player,,
Andy Cooper,1898-1941,Negro League,Player,,
Frank Grant,1865-1937,Negro League,Player,,
Pete Hill,1882-1951,Negro League,Player,,
Biz Mackey,1897-1965,Negro League,Player,,
Effa Manley,1897-1981,Negro League,Pioneer/Executive,,
José Mendéz,1885-1928,Negro League,Player,,
Alex Pompez,1890-1974,Negro League,Pioneer/Executive,,
Cum Posey,1890-1946,Negro League,Pioneer/Executive,,
Louis Santop,1889-1942,Negro League,Player,,
Bruce Sutter,1953-Living,BBWAA,Player,400,76.90%
Mule Suttles,1901-1966,Negro League,Player,,
Ben Taylor,1888-1953,Negro League,Player,,
Cristóbal Torriente,1893-1938,Negro League,Player,,
Sol White,1868-1955,Negro League,Pioneer/Executive,,
J.L. Wilkinson,1878-1964,Negro League,Pioneer/Executive,,
